index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,401.105,-0.4691,-0.021,-1.0895,2.236,disable,0.0,0.0,0.0
1,401.321,-0.4691,-0.021,-1.0893,2.238,disable,0.0,0.0,0.0
2,401.552,-0.4692,-0.0212,-1.0894,2.24,disable,0.0,0.0,0.0
3,401.768,-0.4692,-0.0213,-1.0894,2.245,disable,0.0,0.0,0.0
4,401.978,-0.4695,-0.0212,-1.0895,2.258,disable,0.0,0.0,0.0
5,402.186,-0.4696,-0.0211,-1.0895,2.249,disable,0.0,0.0,0.0
6,402.397,-0.4695,-0.0212,-1.0896,2.252,disable,0.0,0.0,0.0
7,402.608,-0.4695,-0.0212,-1.0896,2.256,disable,0.0,0.0,0.0
8,402.831,-0.4694,-0.0213,-1.0896,2.258,disable,0.0,0.0,0.0
9,403.046,-0.4694,-0.0213,-1.0896,2.264,disable,0.0,0.0,0.0
10,403.257,-0.4695,-0.0213,-1.0896,2.269,disable,0.0,0.0,0.0
11,403.467,-0.4694,-0.0213,-1.0897,2.268,disable,0.0,0.0,0.0
12,403.678,-0.4695,-0.0212,-1.0896,2.268,disable,0.0,0.0,0.0
13,403.896,-0.4695,-0.0215,-1.0896,2.27,disable,0.0,0.0,0.0
14,404.108,-0.4696,-0.0216,-1.0897,2.288,disable,0.0,0.0,0.0
15,404.324,-0.4696,-0.0215,-1.0897,2.289,disable,0.0,0.0,0.0
16,404.535,-0.4696,-0.0215,-1.0897,2.289,disable,0.0,0.0,0.0
17,404.755,-0.4484,-0.0207,-1.0896,2.185,disable,0.0,0.0,0.0
18,404.964,-0.4042,-0.0181,-1.0894,2.03,disable,0.0,0.0,0.0
19,405.173,-0.2938,-0.0128,-1.0889,1.532,4t4d,0.0,0.0,0.0
20,405.382,-0.2015,-0.0101,-1.0912,1.251,4t4d,0.0,0.0,0.0
21,405.601,-0.0672,-0.0029,-1.0943,0.976,4t4d,0.0,0.0,0.0
22,405.813,0.0059,0.0023,-1.0986,1.089,4t4d,0.176,0.0,0.0
23,406.026,0.045,0.0033,-1.0993,1.098,4t4d,0.278,0.0,0.0
24,406.244,0.1431,0.0086,-1.111,0.934,4t4d,0.402,0.0,0.0
25,406.46,0.2579,0.013,-1.1231,0.637,4t4d,0.457,0.0,0.0
26,406.672,0.3409,0.0148,-1.1321,0.477,4t4d,0.466,0.0,0.0
27,406.882,0.4076,0.0168,-1.142,0.423,4t4d,0.366,0.0,0.0
28,407.093,0.4927,0.0183,-1.1576,0.171,4t4d,0.367,0.0,0.0
29,407.308,0.5329,0.0196,-1.1624,-0.004,4t4d,0.39,0.0,0.0
30,407.524,0.6416,0.0235,-1.1799,-0.304,4t4d,0.371,0.0,0.0
31,407.749,0.716,0.0218,-1.1857,-0.2,4t4d,0.438,0.0,0.0
32,407.967,0.8274,0.0238,-1.1933,-0.224,4t4d,0.395,0.0,0.0
33,408.178,0.911,0.0246,-1.1976,-0.779,4t4d,0.452,0.0,0.0
34,408.386,0.992,0.0249,-1.2029,-1.02,4t4d,0.406,0.0,0.0
35,408.596,1.0701,0.0258,-1.2069,-1.095,4t4d,0.404,0.0,0.0
36,408.806,1.1379,0.0256,-1.2066,-1.225,4t4d,0.328,0.0,0.0
37,409.018,1.2518,0.0267,-1.2064,-1.35,4t4d,0.367,0.0,0.0
38,409.243,1.2915,0.025,-1.2036,-1.484,4t4d,0.387,0.0,0.0
39,409.46,1.4058,0.0252,-1.2064,-1.796,4t4d,0.348,0.0,0.0
40,409.669,1.5265,0.0246,-1.2069,-2.092,4t4d,0.394,0.0,0.0
41,409.878,1.564,0.0236,-1.2077,-2.158,4t4d,0.386,0.0,0.0
42,410.089,1.6719,0.0176,-1.2038,-2.355,4t4d,0.382,0.0,0.0
43,410.299,1.7463,0.0176,-1.2066,-2.54,4t4d,0.402,0.0,0.0
44,410.51,1.7913,0.0151,-1.2065,-2.568,4t4d,0.411,0.0,0.0
45,410.719,1.9165,0.0115,-1.2076,-2.736,4t4d,0.419,0.0,0.0
46,410.929,1.9891,0.0094,-1.2072,-2.713,4t4d,0.387,0.0,0.0
47,411.144,2.107,0.0069,-1.2078,-2.705,4t4d,0.378,0.0,0.0
48,411.355,2.1841,0.0045,-1.2132,-2.431,4t4d,0.446,0.0,0.0
49,411.565,2.2669,0.0051,-1.2117,-2.277,4t4d,0.391,0.0,0.0
50,411.775,2.3514,0.0037,-1.2141,-2.323,4t4d,0.427,0.0,0.0
51,411.991,2.4299,0.0007,-1.2133,-2.329,4t4d,0.4,0.0,0.0
52,412.2,2.55,-0.0012,-1.2148,-1.848,4t4d,0.425,0.0,0.0
53,412.412,2.6271,-0.0016,-1.2157,-1.303,4t4d,0.415,0.0,0.0
54,412.62,2.6728,-0.0042,-1.2168,-1.299,4t4d,0.401,0.0,0.0
55,412.83,2.7909,-0.0026,-1.2179,-0.966,4t4d,0.439,0.0,0.0
56,413.042,2.8325,-0.0022,-1.2175,-0.787,4t4d,0.408,0.0,0.0
57,413.259,2.911,-0.0009,-1.2177,-0.847,4t4d,0.378,0.0,0.0
58,413.474,3.0745,0.0011,-1.2185,-0.858,4t4d,0.425,0.0,5.27
59,413.685,3.1552,0.002,-1.217,-0.858,4t4d,0.433,0.0,0.0
60,413.895,3.1939,0.0028,-1.2178,-0.85,4t4d,0.409,0.0,0.0
61,414.107,3.3092,0.0046,-1.216,-0.872,4t4d,0.433,0.0,0.0
62,414.321,3.396,0.0052,-1.2166,-0.87,4t4d,0.387,0.0,0.0
63,414.532,3.47,0.0045,-1.2173,-1.067,4t4d,0.423,0.0,0.0
64,414.748,3.5959,0.0062,-1.2154,-1.118,4t4d,0.409,0.0,0.0
65,414.957,3.6727,0.0067,-1.2151,-0.996,4t4d,0.409,0.0,0.0
66,415.17,3.7509,0.0065,-1.2144,-1.021,4t4d,0.436,0.0,0.0
67,415.376,3.8321,0.0082,-1.2157,-0.913,4t4d,0.39,0.0,0.0
68,415.587,3.9098,0.0092,-1.2165,-0.806,4t4d,0.403,0.0,0.0
69,415.798,3.9919,0.0107,-1.2177,-0.83,4t4d,0.415,0.0,0.0
70,416.011,4.0729,0.0125,-1.2176,-0.782,4t4d,0.389,0.0,0.0
71,416.227,4.2045,0.0147,-1.2168,-0.639,4t4d,0.4,0.0,0.0
72,416.439,4.2903,0.0151,-1.2168,-0.882,4t4d,0.425,0.0,0.0
73,416.651,4.3702,0.0147,-1.2171,-1.339,4t4d,0.425,0.0,0.0
74,416.864,4.4471,0.0156,-1.2161,-1.377,4t4d,0.411,0.0,0.0
75,417.076,4.5335,0.0146,-1.2128,-1.451,4t4d,0.431,0.0,0.0
76,417.284,4.6661,0.0127,-1.2099,-1.77,4t4d,0.415,0.0,0.0
77,417.494,4.6995,0.0128,-1.2121,-1.921,4t4d,0.426,0.0,0.0
