index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,675.135,-0.1034,-0.0815,-1.0936,-1.701,4t4d,0.0,0.0,0.0
1,675.355,-0.1034,-0.0815,-1.0936,-1.708,4t4d,0.104,0.0,0.0
2,675.605,-0.1,-0.0816,-1.0936,-1.709,4t4d,0.118,0.0,0.0
3,675.836,-0.0786,-0.0821,-1.0934,-1.716,4t4d,0.122,0.0,0.0
4,676.06,-0.0429,-0.083,-1.0934,-1.689,4t4d,0.152,0.0,0.0
5,676.286,-0.018,-0.0837,-1.0933,-1.667,4t4d,0.161,0.0,0.0
6,676.515,0.03,-0.0845,-1.0931,-1.687,4t4d,0.186,0.0,0.0
7,676.738,0.0632,-0.0849,-1.0929,-1.678,4t4d,0.192,0.0,0.0
8,676.955,0.0968,-0.0852,-1.093,-1.679,4t4d,0.173,0.0,0.0
9,677.185,0.1325,-0.0857,-1.093,-1.689,4t4d,0.181,0.0,0.0
10,677.417,0.1855,-0.0865,-1.0929,-1.702,4t4d,0.175,0.0,0.0
11,677.642,0.2208,-0.0871,-1.0933,-1.702,4t4d,0.177,0.0,0.0
12,677.857,0.2708,-0.0885,-1.093,-2.215,4t4d,0.175,0.0,0.0
13,678.087,0.3042,-0.0893,-1.093,-2.29,4t4d,0.182,0.0,0.0
14,678.303,0.3208,-0.0899,-1.0929,-2.312,4t4d,0.171,0.0,0.0
15,678.524,0.3717,-0.0919,-1.0939,-2.415,4t4d,0.171,0.0,0.0
16,678.75,0.4052,-0.0932,-1.0944,-2.459,4t4d,0.181,0.0,0.0
17,678.984,0.4381,-0.0942,-1.0954,-2.495,4t4d,0.161,0.0,0.0
18,679.212,0.5037,-0.096,-1.099,-2.549,4t4d,0.178,0.0,0.0
19,679.436,0.5388,-0.0971,-1.0992,-2.483,4t4d,0.182,0.0,0.0
20,679.656,0.5708,-0.0981,-1.1007,-2.455,4t4d,0.208,0.0,0.0
21,679.895,0.619,-0.101,-1.1113,-2.038,4t4d,0.163,0.0,0.0
22,680.122,0.6539,-0.1005,-1.1136,-1.911,4t4d,0.175,0.0,0.0
23,680.337,0.6897,-0.1014,-1.1168,-1.806,4t4d,0.191,0.0,0.0
24,680.564,0.7222,-0.1021,-1.1198,-1.783,4t4d,0.177,0.0,0.0
25,680.789,0.757,-0.1031,-1.1229,-1.742,4t4d,0.16,0.0,0.0
26,681.01,0.8041,-0.104,-1.1293,-2.015,4t4d,0.175,0.0,0.0
27,681.24,0.8382,-0.1046,-1.1317,-1.948,4t4d,0.191,0.0,0.0
28,681.457,0.886,-0.1059,-1.1368,-2.524,4t4d,0.199,0.0,-3.93
29,681.683,0.9272,-0.1075,-1.1407,-3.272,4t4d,0.217,0.0,0.0
30,681.904,0.9604,-0.1092,-1.1454,-3.911,4t4d,0.161,0.0,0.0
31,682.124,0.9915,-0.1114,-1.1518,-4.252,4t4d,0.174,0.0,7.54
32,682.35,1.0431,-0.1141,-1.1589,-3.964,4t4d,0.168,0.0,10.57
33,682.581,1.0809,-0.1146,-1.163,-1.801,4t4d,0.173,0.0,0.0
34,682.809,1.1335,-0.1142,-1.17,0.259,4t4d,0.16,0.0,0.0
35,683.033,1.1513,-0.1141,-1.1729,0.277,4t4d,0.177,0.0,0.0
36,683.253,1.2022,-0.1133,-1.1772,0.321,4t4d,0.176,0.0,-3.33
37,683.479,1.2368,-0.1126,-1.1797,0.266,4t4d,0.167,0.0,-3.72
38,683.7,1.2704,-0.1127,-1.1827,-0.373,4t4d,0.153,0.0,0.0
39,683.925,1.3224,-0.1145,-1.1859,-1.296,4t4d,0.144,0.0,0.0
40,684.14,1.3536,-0.1156,-1.1875,-1.526,4t4d,0.149,0.0,0.0
41,684.372,1.3916,-0.1164,-1.1883,-1.568,4t4d,0.159,0.0,0.0
42,684.596,1.4436,-0.1174,-1.1919,-1.604,4t4d,0.167,0.0,0.0
43,684.827,1.4786,-0.1182,-1.1944,-1.608,4t4d,0.172,0.0,0.0
44,685.047,1.5138,-0.1192,-1.1964,-1.617,4t4d,0.192,0.0,0.0
45,685.283,1.5632,-0.1207,-1.1994,-1.668,4t4d,0.168,0.0,5.26
46,685.511,1.5794,-0.1209,-1.1999,-1.677,4t4d,0.165,0.0,0.0
47,685.734,1.6311,-0.1202,-1.1999,-0.551,4t4d,0.157,0.0,0.0
48,685.967,1.6783,-0.1198,-1.1997,-0.521,4t4d,0.158,0.0,0.0
49,686.196,1.7108,-0.1198,-1.1994,-0.505,4t4d,0.154,0.0,0.0
50,686.426,1.7582,-0.1198,-1.198,-0.376,4t4d,0.207,0.0,0.0
51,686.653,1.7921,-0.1195,-1.1948,-0.448,4t4d,0.174,0.0,0.0
52,686.876,1.8241,-0.1197,-1.1963,-0.324,4t4d,0.178,0.0,0.0
53,687.096,1.8564,-0.1205,-1.1956,-0.542,4t4d,0.172,0.0,0.0
54,687.319,1.9027,-0.1205,-1.1968,-0.451,4t4d,0.161,0.0,0.0
55,687.542,1.9338,-0.1209,-1.1966,-0.552,4t4d,0.156,0.0,0.0
56,687.768,1.9668,-0.1212,-1.1969,-0.538,4t4d,0.176,0.0,0.0
57,687.994,2.0134,-0.1211,-1.1953,-0.581,4t4d,0.157,0.0,0.0
58,688.215,2.0459,-0.1211,-1.1949,-0.629,4t4d,0.182,0.0,0.0
59,688.434,2.0756,-0.1212,-1.1944,-0.696,4t4d,0.192,0.0,0.0
60,688.662,2.1218,-0.1213,-1.1947,-0.668,4t4d,0.163,0.0,0.0
61,688.877,2.1491,-0.1219,-1.1931,-0.657,4t4d,0.157,0.0,0.0
62,689.101,2.187,-0.1228,-1.1929,-0.797,4t4d,0.169,0.0,0.0
63,689.327,2.2188,-0.1234,-1.1919,-0.813,4t4d,0.146,0.0,0.0
64,689.549,2.2515,-0.1238,-1.1925,-0.892,4t4d,0.159,0.0,0.0
65,689.793,2.2817,-0.1238,-1.1922,-0.953,4t4d,0.173,0.0,0.0
66,690.011,2.3316,-0.1243,-1.1926,-1.03,4t4d,0.157,0.0,0.0
67,690.241,2.3756,-0.1251,-1.1939,-1.099,4t4d,0.149,0.0,0.0
68,690.467,2.4063,-0.1257,-1.1935,-1.106,4t4d,0.16,0.0,0.0
69,690.685,2.4378,-0.1264,-1.1931,-1.124,4t4d,0.177,0.0,0.0
70,690.913,2.4699,-0.127,-1.1936,-1.133,4t4d,0.184,0.0,0.0
71,691.144,2.5154,-0.1279,-1.1927,-1.009,4t4d,0.189,0.0,0.0
72,691.367,2.5466,-0.1281,-1.1922,-0.892,4t4d,0.169,0.0,0.0
73,691.594,2.5782,-0.1288,-1.1927,-0.928,4t4d,0.166,0.0,0.0
74,691.82,2.6252,-0.1292,-1.1922,-0.962,4t4d,0.184,0.0,0.0
75,692.036,2.6553,-0.1296,-1.1915,-0.974,4t4d,0.177,0.0,0.0
76,692.267,2.7023,-0.1305,-1.1929,-1.15,4t4d,0.192,0.0,0.0
77,692.497,2.7346,-0.1309,-1.1912,-1.161,4t4d,0.173,0.0,0.0
78,692.717,2.7664,-0.1311,-1.1916,-1.143,4t4d,0.157,0.0,0.0
79,692.939,2.8011,-0.1317,-1.1918,-1.192,4t4d,0.165,0.0,0.0
80,693.161,2.8333,-0.1323,-1.1919,-1.259,4t4d,0.166,0.0,0.0
81,693.378,2.882,-0.1333,-1.1926,-1.269,4t4d,0.137,0.0,0.0
82,693.608,2.9163,-0.1341,-1.1922,-1.332,4t4d,0.148,0.0,0.0
83,693.84,2.9637,-0.1355,-1.1925,-1.348,4t4d,0.175,0.0,0.0
84,694.066,2.9979,-0.1365,-1.1932,-1.335,4t4d,0.184,0.0,0.0
85,694.292,3.0304,-0.1372,-1.1934,-1.331,4t4d,0.181,0.0,0.0
86,694.512,3.0785,-0.1383,-1.1933,-1.259,4t4d,0.172,0.0,0.0
87,694.751,3.116,-0.1392,-1.1945,-1.327,4t4d,0.197,0.0,0.0
88,694.975,3.1483,-0.14,-1.1945,-1.266,4t4d,0.179,0.0,0.0
89,695.205,3.1804,-0.1405,-1.195,-1.243,4t4d,0.156,0.0,0.0
90,695.43,3.2384,-0.1416,-1.1974,-1.229,4t4d,0.167,0.0,0.0
91,695.652,3.27,-0.1426,-1.1977,-1.343,4t4d,0.162,0.0,0.0
92,695.892,3.3211,-0.1439,-1.1988,-1.371,4t4d,0.156,0.0,0.0
93,696.109,3.3531,-0.1451,-1.1991,-1.434,4t4d,0.162,0.0,0.0
94,696.317,3.3787,-0.1459,-1.1973,-1.489,4t4d,0.167,0.0,0.0
