index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,3600.716,-0.4388,0.0034,-0.9735,-1.598,disable,0.0,0.0,0.0
1,3600.929,-0.4386,0.0033,-0.9736,-1.597,disable,0.0,0.0,0.0
2,3601.152,-0.4386,0.0033,-0.9736,-1.598,disable,0.0,0.0,0.0
3,3601.366,-0.4385,0.0033,-0.9736,-1.596,disable,0.0,0.0,0.0
4,3601.595,-0.4385,0.0033,-0.9735,-1.596,disable,0.0,0.0,0.0
5,3601.814,-0.4383,0.0032,-0.9735,-1.596,disable,0.0,0.0,0.0
6,3602.039,-0.4384,0.0031,-0.9735,-1.595,disable,0.0,0.0,0.0
7,3602.246,-0.4382,0.0031,-0.9735,-1.594,disable,0.0,0.0,0.0
8,3602.464,-0.4386,0.0031,-0.9734,-1.596,disable,0.0,0.0,0.0
9,3602.676,-0.4385,0.003,-0.9735,-1.596,disable,0.0,0.0,0.0
10,3602.889,-0.4382,0.003,-0.9736,-1.596,disable,0.0,0.0,0.0
11,3603.106,-0.4382,0.003,-0.9736,-1.595,disable,0.0,0.0,0.0
12,3603.316,-0.4385,0.003,-0.9735,-1.596,disable,0.0,0.0,0.0
13,3603.531,-0.4384,0.003,-0.9735,-1.596,disable,0.0,0.0,0.0
14,3603.752,-0.4377,0.0032,-0.9736,-1.598,disable,0.0,0.0,0.0
15,3603.968,-0.4376,0.0032,-0.9735,-1.598,disable,0.0,0.0,0.0
16,3604.175,-0.4376,0.0032,-0.9736,-1.6,disable,0.0,0.0,0.0
17,3604.392,-0.4376,0.0031,-0.9735,-1.6,disable,0.0,0.0,0.0
18,3604.605,-0.4376,0.0032,-0.9736,-1.6,disable,0.0,0.0,0.0
19,3604.827,-0.4376,0.0032,-0.9736,-1.599,disable,0.0,0.0,0.0
20,3605.037,-0.4378,0.0031,-0.9736,-1.6,disable,0.0,0.0,0.0
21,3605.255,-0.4374,0.0031,-0.9737,-1.599,disable,0.0,0.0,0.0
22,3605.467,-0.4373,0.0031,-0.9736,-1.598,disable,0.0,0.0,0.0
23,3605.678,-0.4374,0.0031,-0.9736,-1.599,disable,0.0,0.0,0.0
24,3605.905,-0.4377,0.0031,-0.9736,-1.599,disable,0.0,0.0,0.0
25,3606.117,-0.4376,0.003,-0.9736,-1.599,disable,0.0,0.0,0.0
26,3606.332,-0.4377,0.0031,-0.9736,-1.598,disable,0.0,0.0,0.0
27,3606.544,-0.4374,0.0031,-0.9736,-1.599,disable,0.0,0.0,0.0
28,3606.756,-0.4375,0.0032,-0.9735,-1.599,disable,0.0,0.0,0.0
29,3606.973,-0.4375,0.0032,-0.9736,-1.599,disable,0.0,0.0,0.0
30,3607.181,-0.4376,0.0031,-0.9736,-1.6,disable,0.0,0.0,0.0
31,3607.393,-0.4378,0.0031,-0.9735,-1.599,disable,0.0,0.0,0.0
32,3607.6,-0.4377,0.0031,-0.9735,-1.598,disable,0.0,0.0,0.0
33,3607.812,-0.4378,0.0031,-0.9735,-1.598,disable,0.0,0.0,0.0
34,3608.025,-0.4379,0.0031,-0.9734,-1.599,disable,0.0,0.0,0.0
35,3608.245,-0.438,0.0033,-0.9735,-1.599,disable,0.0,0.0,0.0
36,3608.456,-0.4379,0.0033,-0.9734,-1.598,disable,0.0,0.0,0.0
37,3608.667,-0.438,0.0032,-0.9734,-1.598,disable,0.0,0.0,0.0
38,3608.875,-0.438,0.0032,-0.9734,-1.598,disable,0.0,0.0,0.0
39,3609.087,-0.438,0.0032,-0.9735,-1.597,disable,0.0,0.0,0.0
40,3609.299,-0.438,0.0032,-0.9735,-1.598,disable,0.0,0.0,0.0
41,3609.511,-0.438,0.0032,-0.9735,-1.598,disable,0.0,0.0,0.0
42,3609.729,-0.438,0.0032,-0.9734,-1.597,disable,0.0,0.0,0.0
43,3609.939,-0.438,0.0032,-0.9735,-1.596,disable,0.0,0.0,0.0
44,3610.16,-0.438,0.0032,-0.9735,-1.597,disable,0.0,0.0,0.0
45,3610.372,-0.4378,0.0032,-0.9736,-1.598,disable,0.0,0.0,0.0
46,3610.587,-0.438,0.0032,-0.9735,-1.598,disable,0.0,0.0,0.0
47,3610.799,-0.4379,0.0032,-0.9735,-1.598,disable,0.0,0.0,0.0
48,3611.009,-0.4379,0.0032,-0.9736,-1.597,disable,0.0,0.0,0.0
49,3611.218,-0.4379,0.0031,-0.9736,-1.598,disable,0.0,0.0,0.0
50,3611.431,-0.4379,0.0032,-0.9736,-1.598,disable,0.0,0.0,0.0
51,3611.648,-0.4379,0.0032,-0.9736,-1.598,disable,0.0,0.0,0.0
52,3611.859,-0.4378,0.0033,-0.9737,-1.598,disable,0.0,0.0,0.0
53,3612.089,-0.4379,0.0033,-0.9736,-1.597,disable,0.0,0.0,0.0
54,3612.308,-0.438,0.0033,-0.9736,-1.597,disable,0.0,0.0,0.0
55,3612.524,-0.438,0.0033,-0.9736,-1.597,disable,0.0,0.0,0.0
56,3612.739,-0.4379,0.0033,-0.9736,-1.596,disable,0.0,0.0,0.0
