index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,2363.474,-0.4993,-0.1626,-1.0432,-5.016,disable,0.0,0.0,0.0
1,2363.688,-0.4993,-0.1627,-1.0432,-5.013,disable,0.0,0.0,0.0
2,2363.9,-0.4992,-0.1627,-1.0432,-5.015,disable,0.0,0.0,0.0
3,2364.111,-0.4877,-0.1635,-1.0432,-5.049,disable,0.0,0.0,0.0
4,2364.323,-0.4704,-0.1646,-1.043,-5.078,disable,0.0,0.0,0.0
5,2364.532,-0.4472,-0.1662,-1.0428,-5.122,disable,0.0,0.0,0.0
6,2364.743,-0.4316,-0.1673,-1.0427,-5.067,disable,0.0,0.0,0.0
7,2364.957,-0.3769,-0.1679,-1.0434,-2.926,4t4d,0.0,0.0,0.0
8,2365.173,-0.3423,-0.1684,-1.0435,-2.622,4t4d,0.016,0.0,0.0
9,2365.387,-0.2865,-0.1694,-1.0441,-2.608,4t4d,0.088,0.0,0.0
10,2365.597,-0.2651,-0.1697,-1.0443,-2.636,4t4d,0.113,0.0,0.0
11,2365.808,-0.1958,-0.171,-1.0455,-2.612,4t4d,0.155,0.0,0.0
12,2366.019,-0.1493,-0.1718,-1.0468,-2.628,4t4d,0.181,0.0,9.46
13,2366.229,-0.1273,-0.172,-1.0486,-2.695,4t4d,0.176,0.0,0.0
14,2366.444,-0.0532,-0.1728,-1.0504,-2.608,4t4d,0.188,0.0,0.0
15,2366.654,0.0072,-0.1732,-1.061,-2.284,4t4d,0.218,0.0,0.0
16,2366.864,0.0601,-0.1738,-1.0646,-2.467,4t4d,0.253,0.0,0.0
17,2367.069,0.1066,-0.1741,-1.0679,-2.58,4t4d,0.238,0.0,0.0
18,2367.281,0.1535,-0.1749,-1.0724,-2.55,4t4d,0.256,0.0,0.0
19,2367.502,0.1983,-0.1756,-1.078,-2.582,4t4d,0.257,0.0,0.0
20,2367.712,0.2725,-0.1766,-1.0879,-2.516,4t4d,0.256,0.0,0.0
21,2367.921,0.3289,-0.1771,-1.0988,-2.749,4t4d,0.28,0.0,0.0
22,2368.133,0.3863,-0.1774,-1.1073,-2.791,4t4d,0.235,0.0,0.0
23,2368.342,0.4302,-0.1778,-1.1132,-2.95,4t4d,0.26,0.0,0.0
24,2368.557,0.455,-0.1784,-1.1166,-2.961,4t4d,0.279,0.0,0.0
25,2368.772,0.5342,-0.1797,-1.129,-3.109,4t4d,0.238,0.0,0.0
26,2368.987,0.6122,-0.1823,-1.1358,-3.059,4t4d,0.274,0.0,0.0
27,2369.197,0.6434,-0.1832,-1.1381,-3.001,4t4d,0.293,0.0,0.0
28,2369.407,0.7342,-0.1854,-1.1455,-2.84,4t4d,0.276,0.0,0.0
29,2369.619,0.7856,-0.1872,-1.1479,-2.829,4t4d,0.286,0.0,0.0
30,2369.831,0.8458,-0.1885,-1.1513,-2.811,4t4d,0.258,0.0,0.0
31,2370.042,0.9042,-0.1901,-1.1548,-2.785,4t4d,0.231,0.0,0.0
32,2370.268,0.9884,-0.1921,-1.1574,-2.833,4t4d,0.309,0.0,0.0
33,2370.477,1.0455,-0.1938,-1.1581,-2.794,4t4d,0.274,0.0,0.0
34,2370.685,1.073,-0.1947,-1.1586,-2.834,4t4d,0.271,0.0,0.0
35,2370.896,1.1598,-0.1962,-1.1588,-2.278,4t4d,0.286,0.0,0.0
36,2371.108,1.1945,-0.1964,-1.157,-1.34,4t4d,0.289,0.0,0.0
37,2371.323,1.2883,-0.1895,-1.1575,2.22,4t4d,0.245,0.0,0.0
38,2371.532,1.3699,-0.1839,-1.1571,2.564,4t4d,0.265,0.0,0.0
39,2371.742,1.4227,-0.1812,-1.1565,2.232,4t4d,0.312,0.0,0.0
40,2371.951,1.4739,-0.1796,-1.1566,0.911,4t4d,0.259,0.0,0.0
41,2372.162,1.5295,-0.1796,-1.1559,-0.423,4t4d,0.305,0.0,13.27
42,2372.371,1.5806,-0.1788,-1.1546,-0.768,4t4d,0.315,0.0,12.6
43,2372.578,1.6375,-0.1795,-1.1537,-0.956,4t4d,0.266,0.0,0.0
44,2372.797,1.7238,-0.1798,-1.1541,-1.215,4t4d,0.284,0.0,0.0
45,2373.015,1.7792,-0.1793,-1.1555,-1.352,4t4d,0.273,0.0,-5.76
46,2373.232,1.8342,-0.179,-1.1556,-1.353,4t4d,0.277,0.0,-5.73
47,2373.444,1.8906,-0.1793,-1.1567,-1.446,4t4d,0.287,0.0,0.0
48,2373.654,1.9446,-0.1791,-1.1561,-1.338,4t4d,0.319,0.0,0.0
49,2373.865,2.0325,-0.179,-1.1571,-1.232,4t4d,0.304,0.0,0.0
50,2374.081,2.0883,-0.179,-1.1576,-1.142,4t4d,0.316,0.0,0.0
51,2374.291,2.1495,-0.1784,-1.1581,-0.962,4t4d,0.331,0.0,0.0
52,2374.498,2.2069,-0.1778,-1.1565,-0.993,4t4d,0.319,0.0,0.0
53,2374.71,2.2335,-0.1776,-1.1571,-1.008,4t4d,0.306,0.0,0.0
54,2374.921,2.3493,-0.1766,-1.1571,-1.123,4t4d,0.317,0.0,0.0
55,2375.129,2.4022,-0.1767,-1.1565,-1.609,4t4d,0.292,0.0,0.0
56,2375.339,2.4616,-0.1773,-1.1569,-1.628,4t4d,0.285,0.0,0.0
57,2375.55,2.5138,-0.1776,-1.1572,-1.531,4t4d,0.3,0.0,0.0
58,2375.76,2.5771,-0.1773,-1.157,-1.618,4t4d,0.297,0.0,0.0
59,2375.972,2.6285,-0.1773,-1.1568,-1.591,4t4d,0.299,0.0,0.0
60,2376.181,2.6869,-0.1772,-1.1571,-1.589,4t4d,0.275,0.0,0.0
61,2376.393,2.7359,-0.1773,-1.1571,-1.756,4t4d,0.307,0.0,0.0
62,2376.609,2.7834,-0.1774,-1.1579,-1.717,4t4d,0.281,0.0,0.0
63,2376.824,2.8474,-0.1794,-1.1569,-1.803,4t4d,0.3,0.0,0.0
64,2377.033,2.8863,-0.1805,-1.1569,-1.86,4t4d,0.295,0.0,0.0
65,2377.249,2.9226,-0.1808,-1.1561,-1.881,4t4d,0.296,0.0,0.0
66,2377.46,2.9676,-0.1812,-1.1568,-1.913,4t4d,0.264,0.0,0.0
67,2377.685,3.0243,-0.1816,-1.1567,-2.017,4t4d,0.237,0.0,0.0
68,2377.901,3.0641,-0.1828,-1.1566,-2.039,4t4d,0.187,0.0,0.0
69,2378.136,3.098,-0.1835,-1.1569,-2.07,4t4d,0.196,0.0,0.0
70,2378.349,3.147,-0.185,-1.1569,-2.031,4t4d,0.208,0.0,0.0
71,2378.559,3.161,-0.1851,-1.1566,-2.105,4t4d,0.214,0.0,0.0
72,2378.771,3.2075,-0.1865,-1.1559,-2.128,4t4d,0.198,0.0,0.0
73,2378.986,3.2409,-0.1863,-1.1559,-1.531,4t4d,0.204,0.0,0.0
74,2379.21,3.2779,-0.1862,-1.16,-0.998,4t4d,0.154,0.0,0.0
75,2379.424,3.3196,-0.1848,-1.1603,-0.75,4t4d,0.158,0.0,0.0
76,2379.634,3.3483,-0.1839,-1.1607,-0.773,4t4d,0.175,0.0,0.0
77,2379.845,3.372,-0.1834,-1.1611,-0.768,4t4d,0.162,0.0,0.0
78,2380.057,3.3841,-0.1834,-1.1614,-0.729,4t4d,0.155,0.0,3.15
79,2380.268,3.418,-0.1832,-1.1625,-0.748,4t4d,0.129,0.0,2.57
80,2380.477,3.437,-0.183,-1.1623,-0.693,4t4d,0.135,0.0,0.0
81,2380.692,3.4577,-0.1824,-1.1624,-0.74,4t4d,0.138,0.0,0.0
82,2380.914,3.4899,-0.1815,-1.163,-0.768,4t4d,0.119,0.0,0.0
83,2381.124,3.5148,-0.1815,-1.1634,-0.799,4t4d,0.134,0.0,0.0
84,2381.334,3.5251,-0.1816,-1.1633,-0.767,4t4d,0.089,0.0,0.0
85,2381.545,3.5796,-0.1811,-1.1638,-0.783,4t4d,0.098,0.0,0.0
86,2381.761,3.5941,-0.1808,-1.1639,-0.795,4t4d,0.103,0.0,0.0
87,2381.971,3.6352,-0.1799,-1.1639,-0.853,4t4d,0.106,0.0,0.0
88,2382.179,3.6611,-0.1795,-1.1635,-0.865,4t4d,0.121,0.0,0.0
