index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,184.742,-0.0559,0.1963,-1.0791,-35.824,4t4d,0.103,0.0,0.0
1,184.963,-0.0567,0.1967,-1.0797,-35.82,4t4d,0.095,0.0,0.0
2,185.184,-0.0565,0.1963,-1.0796,-35.819,4t4d,0.096,0.0,0.0
3,185.396,-0.0565,0.1964,-1.0798,-35.821,4t4d,0.093,0.0,0.0
4,185.614,-0.0564,0.1963,-1.08,-35.824,4t4d,0.07,0.0,0.0
5,185.835,-0.0562,0.1963,-1.08,-35.823,4t4d,0.023,0.0,0.0
6,186.053,-0.056,0.1956,-1.0803,-35.814,4t4d,-0.006,0.0,0.0
7,186.264,-0.0548,0.1948,-1.0803,-35.815,4t4d,0.0,0.0,0.0
8,186.476,-0.0531,0.1936,-1.0803,-35.817,4t4d,0.0,0.0,0.0
9,186.69,-0.0525,0.1933,-1.0804,-35.819,4t4d,0.0,0.0,0.0
10,186.898,-0.0518,0.1928,-1.0802,-35.81,4t4d,0.0,0.0,0.0
11,187.106,-0.0515,0.1926,-1.0802,-35.795,4t4d,0.0,0.0,0.0
12,187.315,-0.0516,0.1927,-1.0803,-35.793,4t4d,0.022,0.0,0.0
13,187.536,-0.0513,0.1926,-1.0805,-35.789,4t4d,0.012,0.0,0.0
14,187.758,-0.0513,0.1928,-1.0807,-35.789,4t4d,-0.003,0.0,0.0
15,187.968,-0.0513,0.1927,-1.0804,-35.791,4t4d,-0.001,0.0,0.0
16,188.181,-0.0498,0.1911,-1.0797,-35.807,4t4d,0.0,0.0,0.0
17,188.395,-0.0498,0.1911,-1.0797,-35.806,4t4d,0.0,0.0,0.0
18,188.604,-0.0497,0.1911,-1.0798,-35.806,4t4d,0.0,0.0,0.0
19,188.816,-0.0498,0.1912,-1.0798,-35.807,4t4d,0.0,0.0,0.0
20,189.026,-0.0498,0.1912,-1.0799,-35.808,disable,0.0,0.0,0.0
21,189.239,-0.0497,0.191,-1.0801,-35.806,disable,0.0,0.0,0.0
22,189.451,-0.0498,0.1912,-1.08,-35.804,disable,0.0,0.0,0.0
23,189.655,-0.0496,0.191,-1.0799,-35.804,disable,0.0,0.0,0.0
24,189.862,-0.0497,0.1909,-1.08,-35.805,disable,0.0,0.0,0.0
25,190.074,-0.0498,0.191,-1.0799,-35.806,disable,0.0,0.0,0.0
26,190.283,-0.0498,0.1911,-1.08,-35.803,disable,0.0,0.0,0.0
27,190.495,-0.0497,0.191,-1.08,-35.802,disable,0.0,0.0,0.0
28,190.717,-0.0497,0.1909,-1.08,-35.8,disable,0.0,0.0,0.0
29,190.932,-0.0498,0.191,-1.08,-35.802,disable,0.0,0.0,0.0
30,191.142,-0.0499,0.1912,-1.0798,-35.802,disable,0.0,0.0,0.0
31,191.359,-0.0499,0.1909,-1.0799,-35.797,disable,0.0,0.0,0.0
32,191.57,-0.0498,0.1908,-1.0799,-35.798,disable,0.0,0.0,0.0
33,191.787,-0.0498,0.1909,-1.0799,-35.797,disable,0.0,0.0,0.0
34,191.991,-0.0498,0.1911,-1.0798,-35.799,disable,0.0,0.0,0.0
35,192.196,-0.0498,0.1911,-1.0798,-35.801,disable,0.0,0.0,0.0
36,192.405,-0.0498,0.191,-1.0798,-35.801,disable,0.0,0.0,0.0
37,192.615,-0.0497,0.1909,-1.0799,-35.799,disable,0.0,0.0,0.0
38,192.824,-0.0497,0.1909,-1.0799,-35.795,disable,0.0,0.0,0.0
39,193.033,-0.0497,0.191,-1.0798,-35.796,disable,0.0,0.0,0.0
40,193.249,-0.0498,0.191,-1.0798,-35.795,disable,0.0,0.0,0.0
41,193.458,-0.0497,0.191,-1.0799,-35.792,disable,0.0,0.0,0.0
42,193.673,-0.0499,0.191,-1.0798,-35.794,disable,0.0,0.0,0.0
43,193.882,-0.0501,0.1909,-1.0797,-35.792,disable,0.0,0.0,0.0
