index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,1796.619,0.0892,-0.0183,-1.0989,0.344,disable,0.0,0.0,0.0
1,1796.83,0.0893,-0.0182,-1.0989,0.344,disable,0.0,0.0,0.0
2,1797.037,0.0895,-0.0181,-1.099,0.342,disable,0.0,0.0,0.0
3,1797.249,0.0936,-0.0181,-1.0989,0.344,disable,0.0,0.0,0.0
4,1797.46,0.111,-0.0178,-1.1002,0.342,disable,0.0,0.0,0.0
5,1797.671,0.1504,-0.02,-1.1103,0.193,disable,0.0,0.0,0.0
6,1797.883,0.1893,-0.0157,-1.1154,0.369,disable,0.0,0.0,0.0
7,1798.093,0.2329,-0.0151,-1.1218,0.374,4t4d,0.0,0.0,0.0
8,1798.303,0.288,-0.0137,-1.1266,0.355,4t4d,0.001,0.0,0.0
9,1798.514,0.3408,-0.0137,-1.1323,0.331,4t4d,0.079,0.0,0.0
10,1798.724,0.3992,-0.0125,-1.1393,0.259,4t4d,0.154,0.0,0.0
11,1798.933,0.4743,-0.0122,-1.1522,0.51,4t4d,0.204,0.0,0.0
12,1799.142,0.5595,-0.0099,-1.1655,-0.037,4t4d,0.223,0.0,0.0
13,1799.359,0.5871,-0.0089,-1.1691,-0.014,4t4d,0.273,0.0,0.0
14,1799.575,0.6785,-0.0068,-1.183,-0.153,4t4d,0.276,0.0,0.0
15,1799.795,0.7393,-0.0043,-1.1869,-0.042,4t4d,0.296,0.0,0.0
16,1800.003,0.8394,-0.0031,-1.1925,-0.076,4t4d,0.34,0.0,0.0
17,1800.212,0.8752,-0.0024,-1.1937,-0.079,4t4d,0.298,0.0,0.0
18,1800.426,0.9769,-0.0001,-1.1972,-0.19,4t4d,0.268,0.0,0.0
19,1800.647,1.0464,0.0016,-1.1995,-0.252,4t4d,0.344,0.0,0.0
20,1800.863,1.1029,0.0039,-1.2039,-0.453,4t4d,0.29,0.0,0.0
21,1801.09,1.2076,0.0065,-1.2039,-0.504,4t4d,0.335,0.0,0.0
22,1801.306,1.2663,0.0078,-1.2034,-0.549,4t4d,0.327,0.0,0.0
23,1801.519,1.3315,0.0083,-1.2019,-0.673,4t4d,0.299,0.0,0.0
24,1801.734,1.3655,0.009,-1.2015,-0.757,4t4d,0.298,0.0,0.0
25,1801.948,1.4623,-0.0019,-1.2049,-0.805,4t4d,0.331,0.0,0.0
26,1802.162,1.5241,-0.0013,-1.2061,-0.913,4t4d,0.299,0.0,0.0
27,1802.375,1.6161,-0.0031,-1.2036,-1.109,4t4d,0.314,0.0,0.0
28,1802.587,1.6767,-0.002,-1.2044,-1.095,4t4d,0.334,0.0,0.0
29,1802.803,1.7401,-0.0033,-1.2012,-1.214,4t4d,0.327,0.0,0.0
30,1803.011,1.8056,-0.0032,-1.2013,-1.268,4t4d,0.306,0.0,0.0
31,1803.222,1.8999,-0.0038,-1.2017,-1.552,4t4d,0.326,0.0,0.0
32,1803.439,1.9621,-0.0041,-1.2042,-1.588,4t4d,0.318,0.0,0.0
33,1803.651,2.0295,-0.0057,-1.2046,-1.602,4t4d,0.32,0.0,0.0
34,1803.862,2.0888,-0.0058,-1.2053,-1.54,4t4d,0.329,0.0,0.0
35,1804.075,2.1542,-0.0037,-1.2056,-1.39,4t4d,0.321,0.0,0.0
36,1804.285,2.2147,-0.0037,-1.2058,-1.399,4t4d,0.324,0.0,0.0
37,1804.495,2.312,-0.0033,-1.2052,-1.511,4t4d,0.321,0.0,0.0
38,1804.705,2.3776,-0.0039,-1.2051,-1.699,4t4d,0.309,0.0,0.0
39,1804.915,2.4401,-0.0047,-1.2053,-1.823,4t4d,0.313,0.0,0.0
40,1805.122,2.4666,-0.0043,-1.2061,-1.81,4t4d,0.327,0.0,0.0
41,1805.337,2.5643,-0.0042,-1.205,-1.785,4t4d,0.319,0.0,0.0
42,1805.576,2.6571,-0.0067,-1.2051,-1.671,4t4d,0.345,0.0,0.0
43,1805.799,2.7303,-0.0085,-1.2046,-1.769,4t4d,0.305,0.0,0.0
44,1806.018,2.7895,-0.0096,-1.2051,-1.794,4t4d,0.299,0.0,0.0
45,1806.228,2.8551,-0.0093,-1.2052,-1.672,4t4d,0.327,0.0,0.0
46,1806.437,2.9127,-0.0087,-1.2068,-1.372,4t4d,0.286,0.0,0.0
47,1806.649,2.9841,-0.0088,-1.2041,-1.405,4t4d,0.34,0.0,0.0
48,1806.869,3.0625,-0.0134,-1.1878,-1.531,4t4d,0.316,0.0,0.0
49,1807.081,3.1263,-0.0135,-1.1881,-1.552,4t4d,0.328,0.0,0.0
50,1807.301,3.2224,-0.0135,-1.184,-0.986,4t4d,0.317,0.0,0.0
51,1807.51,3.2588,-0.013,-1.18,-0.64,4t4d,0.35,0.0,0.0
52,1807.721,3.3483,-0.0117,-1.1799,-0.433,4t4d,0.316,0.0,0.0
53,1807.932,3.4135,-0.0106,-1.1787,-0.493,4t4d,0.309,0.0,0.0
54,1808.148,3.4796,-0.0089,-1.1786,-0.535,4t4d,0.341,0.0,0.0
55,1808.361,3.5022,-0.0092,-1.1776,-0.601,4t4d,0.292,0.0,0.0
56,1808.578,3.5997,-0.0057,-1.1772,0.195,4t4d,0.341,0.0,0.0
57,1808.788,3.6622,-0.0031,-1.177,0.986,4t4d,0.311,0.0,0.0
58,1808.998,3.7573,0.0007,-1.1778,1.06,4t4d,0.32,0.0,0.0
59,1809.209,3.8227,0.0033,-1.1791,1.018,4t4d,0.303,0.0,0.0
60,1809.422,3.8791,0.0065,-1.1787,1.177,4t4d,0.326,0.0,0.0
61,1809.632,3.9451,0.0087,-1.1797,0.937,4t4d,0.322,0.0,0.0
62,1809.846,4.0076,0.0096,-1.1793,0.742,4t4d,0.325,0.0,0.0
63,1810.059,4.0678,0.0117,-1.1803,0.563,4t4d,0.307,0.0,0.0
64,1810.271,4.1652,0.0149,-1.1797,0.46,4t4d,0.322,0.0,0.0
65,1810.485,4.1959,0.0153,-1.177,0.457,4t4d,0.353,0.0,0.0
66,1810.697,4.2952,0.0191,-1.1761,0.287,4t4d,0.365,0.0,0.0
67,1810.905,4.3609,0.0219,-1.1755,0.401,4t4d,0.328,0.0,0.0
68,1811.118,4.4238,0.0235,-1.1754,0.4,4t4d,0.291,0.0,0.0
69,1811.33,4.5186,0.0253,-1.1756,0.247,4t4d,0.302,0.0,0.0
70,1811.541,4.5792,0.0256,-1.1741,0.132,4t4d,0.309,0.0,0.0
71,1811.755,4.6417,0.0273,-1.1737,-0.063,4t4d,0.315,0.0,0.0
72,1811.963,4.7104,0.0287,-1.1714,-0.201,4t4d,0.326,0.0,0.0
73,1812.176,4.7678,0.0287,-1.1718,-0.396,4t4d,0.323,0.0,0.0
74,1812.389,4.8307,0.0288,-1.1723,-0.519,4t4d,0.287,0.0,0.0
75,1812.598,4.9177,0.0288,-1.1759,-0.576,4t4d,0.304,0.0,0.0
76,1812.83,4.9833,0.03,-1.1755,-0.561,4t4d,0.312,0.0,0.0
77,1813.041,5.0437,0.0308,-1.1749,-0.592,4t4d,0.333,0.0,0.0
78,1813.252,5.1048,0.0314,-1.1755,-0.569,4t4d,0.333,0.0,0.0
79,1813.462,5.1483,0.0306,-1.1809,-0.633,4t4d,0.323,0.0,0.0
80,1813.675,5.1194,0.0292,-1.181,-0.481,4t4d,0.323,0.0,0.0
81,1813.887,5.1185,0.0289,-1.1809,-0.454,4t4d,0.309,0.0,0.0
82,1814.107,5.1193,0.0291,-1.1809,-0.424,4t4d,0.327,0.0,0.0
83,1814.318,5.1192,0.0289,-1.181,-0.421,4t4d,0.289,0.0,0.0
84,1814.529,5.1193,0.029,-1.1809,-0.42,4t4d,0.228,0.0,0.0
85,1814.74,5.1194,0.0291,-1.1811,-0.418,disable,0.0,0.0,0.0
86,1814.953,5.1192,0.029,-1.181,-0.415,disable,0.0,0.0,0.0
87,1815.166,5.1192,0.029,-1.181,-0.417,disable,0.0,0.0,0.0
88,1815.377,5.1192,0.029,-1.1811,-0.416,disable,0.0,0.0,0.0
89,1815.589,5.1192,0.029,-1.1811,-0.417,disable,0.0,0.0,0.0
90,1815.811,5.1191,0.029,-1.1811,-0.415,disable,0.0,0.0,0.0
91,1816.025,5.1192,0.0291,-1.1813,-0.415,disable,0.0,0.0,0.0
92,1816.24,5.119,0.029,-1.1813,-0.415,disable,0.0,0.0,0.0
93,1816.454,5.1188,0.029,-1.1813,-0.417,disable,0.0,0.0,0.0
94,1816.67,5.1187,0.029,-1.1813,-0.417,disable,0.0,0.0,0.0
95,1816.881,5.1186,0.029,-1.1813,-0.416,disable,0.0,0.0,0.0
96,1817.101,5.1186,0.029,-1.1813,-0.415,disable,0.0,0.0,0.0
97,1817.314,5.1187,0.029,-1.1813,-0.415,disable,0.0,0.0,0.0
98,1817.522,5.1187,0.029,-1.1813,-0.413,disable,0.0,0.0,0.0
99,1817.734,5.1192,0.029,-1.1814,-0.416,disable,0.0,0.0,0.0
100,1817.944,5.1374,0.0288,-1.1813,-0.45,disable,0.0,0.0,0.0
101,1818.154,5.1918,0.0296,-1.1814,-0.528,disable,0.0,0.0,0.0
102,1818.364,5.2409,0.0302,-1.1818,-0.513,disable,0.0,0.0,0.0
103,1818.573,5.3034,0.0307,-1.1814,-0.471,4t4d,0.0,0.0,0.0
104,1818.784,5.3704,0.0321,-1.1799,-0.495,4t4d,0.0,0.0,0.0
105,1818.994,5.4357,0.0333,-1.1799,-0.376,4t4d,0.093,0.0,0.0
106,1819.205,5.4994,0.034,-1.1791,-0.465,4t4d,0.179,0.0,0.0
107,1819.416,5.5978,0.0374,-1.1814,-0.44,4t4d,0.232,0.0,0.0
108,1819.63,5.6622,0.0392,-1.1816,-0.492,4t4d,0.37,0.0,0.0
109,1819.84,5.7257,0.0401,-1.1804,-0.521,4t4d,0.316,0.0,0.0
110,1820.052,5.7889,0.0413,-1.181,-0.447,4t4d,0.343,0.0,0.0
111,1820.257,5.8549,0.0428,-1.1818,-0.377,4t4d,0.343,0.0,0.0
112,1820.462,5.9135,0.0431,-1.1821,-0.295,4t4d,0.324,0.0,0.0
113,1820.673,6.0049,0.0454,-1.1825,-0.397,4t4d,0.334,0.0,0.0
114,1820.885,6.0675,0.045,-1.1823,-0.684,4t4d,0.326,0.0,0.0
115,1821.095,6.125,0.0451,-1.1821,-0.826,4t4d,0.319,0.0,0.0
116,1821.305,6.1857,0.0451,-1.1828,-0.953,4t4d,0.345,0.0,0.0
117,1821.521,6.2179,0.0454,-1.1833,-1.012,4t4d,0.282,0.0,0.0
118,1821.731,6.308,0.0455,-1.1845,-1.251,4t4d,0.358,0.0,0.0
119,1821.945,6.3715,0.0454,-1.1844,-1.293,4t4d,0.34,0.0,0.0
