index,t,x,y,z,yaw_deg,gear,vx,vy,wz
0,4597.009,0.6381,-0.1073,-1.1057,-2.515,neutral,0.0,0.0,0.0
1,4597.267,0.6381,-0.1072,-1.1058,-2.517,neutral,0.0,0.0,0.0
2,4597.539,0.6384,-0.1074,-1.1059,-2.515,neutral,0.0,0.0,0.0
3,4597.801,0.6384,-0.1075,-1.106,-2.514,neutral,0.0,0.0,0.0
4,4598.056,0.6381,-0.1074,-1.1057,-2.515,neutral,0.0,0.0,0.0
5,4598.321,0.638,-0.1073,-1.1056,-2.518,neutral,0.0,0.0,0.0
6,4598.588,0.638,-0.1073,-1.1056,-2.516,neutral,0.0,0.0,0.0
7,4598.85,0.638,-0.1074,-1.1056,-2.516,neutral,0.0,0.0,0.0
8,4599.109,0.638,-0.1073,-1.1056,-2.516,neutral,0.0,0.0,0.0
9,4599.361,0.638,-0.1072,-1.1055,-2.517,neutral,0.0,0.0,0.0
10,4599.618,0.638,-0.1073,-1.1055,-2.518,neutral,0.0,0.0,0.0
11,4599.871,0.638,-0.1072,-1.1055,-2.517,neutral,0.0,0.0,0.0
12,4600.128,0.638,-0.1073,-1.1055,-2.52,neutral,0.0,0.0,0.0
13,4600.388,0.6382,-0.1072,-1.1058,-2.515,neutral,0.0,0.0,0.0
14,4600.655,0.6419,-0.1072,-1.1059,-2.546,neutral,0.0,0.0,0.0
15,4600.909,0.6527,-0.1075,-1.1057,-2.631,neutral,0.0,0.0,0.0
16,4601.168,0.6619,-0.1079,-1.1076,-2.691,neutral,0.0,0.0,0.0
17,4601.429,0.6752,-0.1081,-1.1115,-2.456,neutral,0.0,0.0,0.0
18,4601.687,0.7004,-0.1085,-1.1173,-2.662,neutral,0.0,0.0,0.0
19,4601.946,0.7563,-0.1109,-1.1216,-2.845,neutral,0.0,0.0,0.0
20,4602.207,0.8094,-0.1133,-1.1267,-2.969,neutral,0.0,0.0,0.0
21,4602.465,0.904,-0.1173,-1.141,-3.178,neutral,0.0,0.0,0.0
22,4602.726,0.9719,-0.1203,-1.1499,-3.239,neutral,0.0,0.0,0.0
23,4602.982,1.1021,-0.1129,-1.1731,-2.607,neutral,0.0,0.0,0.0
24,4603.244,1.1729,-0.1144,-1.1844,-2.11,neutral,0.0,0.0,0.0
